target_number,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_msg.started,welcome_resp.started,welcome.stopped,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,alternatives.started,left_alt.started,right_alt.started,number.started,key_resp.started,trial.stopped,left_msg,right_msg,button_condition,corr,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,rest.started,rest_prompt.started,rest_clock.started,rest_resp.started,rest.stopped,Nome Completo,total_blocks,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.002109199995175004,0.028969099977985024,0.028969099977985024,0.8189058999996632,,,,,,,,,,,,,,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
22,lower,0,0,0,0,0,0,0,11,2.5033138000871986,,,,,,0.82086560013704,0.8494772999547422,0.8494772999547422,2.42696850001812,2.439839200116694,2.5033138000871986,2.5033138000871986,2.5033138000871986,4.442158200079575,4.442158200079575,4.926826599985361,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.4703772000502795,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
99,greater,0,0,0,0,0,1,1,87,4.9422079001087695,,,,,,,,,,4.929290400119498,4.9422079001087695,4.9422079001087695,4.9422079001087695,6.942387300077826,6.942387300077826,7.409967600135133,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4503901000134647,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
73,greater,0,0,0,0,0,2,2,61,7.425406299997121,,,,,,,,,,7.410504499915987,7.425406299997121,7.425406299997121,7.425406299997121,9.425676800077781,9.425676800077781,9.92692600004375,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4868658999912441,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
25,lower,0,0,0,0,0,3,3,14,9.942358599975705,,,,,,,,,,9.927344199968502,9.942358599975705,9.942358599975705,9.942358599975705,11.942210600012913,11.942210600012913,12.343035199912265,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.386735400184989,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
21,lower,0,0,0,0,0,4,4,10,12.358792399987578,,,,,,,,,,12.343448699917644,12.358792399987578,12.358792399987578,12.358792399987578,14.358991499990225,14.358991499990225,14.743382800137624,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.3772284002043307,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
91,greater,0,0,0,0,0,5,5,79,14.758838500129059,,,,,,,,,,14.743841000134125,14.758838500129059,14.758838500129059,14.758838500129059,16.75874439999461,16.75874439999461,17.193108400097117,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.41812240006402135,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
38,lower,0,0,0,0,0,6,6,27,17.20863529993221,,,,,,,,,,17.193735300097615,17.20863529993221,17.20863529993221,17.20863529993221,19.208653500070795,19.208653500070795,19.609370300080627,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.3840549001470208,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
59,greater,0,0,0,0,0,7,7,47,19.625050999922678,,,,,,,,,,19.609989100135863,19.625050999922678,19.625050999922678,19.625050999922678,21.62507629999891,21.62507629999891,22.0595772000961,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4316801999229938,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
68,greater,0,0,0,0,0,8,8,56,22.07487850007601,,,,,,,,,,22.06002190010622,22.07487850007601,22.07487850007601,22.07487850007601,24.075089399935678,24.075089399935678,24.509342200122774,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.42141139996238053,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
98,greater,0,0,0,0,0,9,9,86,24.524895099923015,,,,,,,,,,24.509768099989742,24.524895099923015,24.524895099923015,24.524895099923015,26.524933899985626,26.524933899985626,26.959957899991423,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.42862999998033047,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
11,lower,0,0,0,0,0,10,10,0,26.97537330002524,,,,,,,,,,26.960854300064966,26.97537330002524,26.97537330002524,26.97537330002524,28.974856399931014,28.974856399931014,29.392695399932563,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.40987939992919564,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
24,lower,0,0,0,0,0,11,11,13,29.40792019991204,,,,,,,,,,29.393229400040582,29.40792019991204,29.40792019991204,29.40792019991204,31.407989900093526,31.407989900093526,31.892375899944454,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.4745130999945104,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
80,greater,0,0,0,0,0,12,12,68,31.908077799947932,,,,,,,,,,31.89279370009899,31.908077799947932,31.908077799947932,31.908077799947932,33.90820339997299,33.90820339997299,34.34223990002647,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4211332998238504,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
75,greater,0,0,0,0,0,13,13,63,34.3580074000638,,,,,,,,,,34.34267950011417,34.3580074000638,34.3580074000638,34.3580074000638,36.35779080004431,36.35779080004431,36.79219559999183,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.42637460003606975,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
14,lower,0,0,0,0,0,14,14,3,36.80762999993749,,,,,,,,,,36.792618999956176,36.80762999993749,36.80762999993749,36.80762999993749,38.80768990004435,38.80768990004435,39.25896120001562,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.45000809989869595,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
89,greater,0,0,0,0,0,15,15,77,39.274139600107446,,,,,,,,,,39.2593813999556,39.274139600107446,39.274139600107446,39.274139600107446,41.274044800084084,41.274044800084084,41.724868200020865,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.44730330002494156,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
40,lower,0,0,0,0,0,16,16,29,41.74075140012428,,,,,,,,,,41.725361000048,41.74075140012428,41.74075140012428,41.74075140012428,43.74084100010805,43.74084100010805,44.30835300008766,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.5570624000392854,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
77,greater,0,0,0,0,0,17,17,65,44.32414190005511,,,,,,,,,,44.308805600041524,44.32414190005511,44.32414190005511,44.32414190005511,46.32403580006212,46.32403580006212,46.79153040004894,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.460567899979651,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
16,lower,0,0,0,0,0,18,18,5,46.807318000122905,,,,,,,,,,46.79193750000559,46.807318000122905,46.807318000122905,46.807318000122905,48.807193600106984,48.807193600106984,49.25832020002417,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.44227919983677566,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
81,greater,0,0,0,0,0,19,19,69,49.274200699990615,,,,,,,,,,49.25877900002524,49.274200699990615,49.274200699990615,49.274200699990615,51.27362879994325,51.27362879994325,51.77513920003548,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4881736000534147,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
15,lower,0,0,0,0,0,20,20,4,51.79032459994778,,,,,,,,,,51.77555170003325,51.79032459994778,51.79032459994778,51.79032459994778,53.79076210013591,53.79076210013591,54.224697900004685,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.4263584001455456,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
26,lower,0,0,0,0,0,21,21,15,54.24031800008379,,,,,,,,,,54.225104599958286,54.24031800008379,54.24031800008379,54.24031800008379,56.240195099962875,56.240195099962875,56.77451690007001,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.5286552000325173,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
76,greater,0,0,0,0,0,22,22,64,56.78992430004291,,,,,,,,,,56.7750415999908,56.78992430004291,56.78992430004291,56.78992430004291,58.79014399996959,58.79014399996959,59.174411199986935,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.37124760006554425,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
27,lower,0,0,0,0,0,23,23,16,59.18994150008075,,,,,,,,,,59.1748263000045,59.18994150008075,59.18994150008075,59.18994150008075,61.18995589995757,61.18995589995757,61.59091240004636,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.39462530007585883,None,,,,,,Relâmpago Marquin,10,2024-11-05_14h07.10.889,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 14h07.21.816944 -0300,
