target_number,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_msg.started,welcome_resp.started,welcome.stopped,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,alternatives.started,left_alt.started,right_alt.started,number.started,key_resp.started,trial.stopped,left_msg,right_msg,button_condition,corr,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,rest.started,rest_prompt.started,rest_clock.started,rest_resp.started,rest.stopped,thanks.started,thanks_prompt.started,thanks_spacebar.started,thanks_resp.started,thanks.stopped,session_duration,Nome Completo,total_blocks,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.01224880013614893,0.056321100099012256,0.056321100099012256,12.18476240010932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
82,greater,0,0,0,0,0,0,0,70,14.022969800047576,,,,,,12.186528800055385,12.23901390004903,12.23901390004903,13.912325700046495,13.932473700027913,14.022969800047576,14.022969800047576,14.022969800047576,15.92367980000563,15.92367980000563,16.397373100044206,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4654411000665277,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
51,lower,0,0,0,0,0,1,1,40,16.42251650011167,,,,,,,,,,16.400634800083935,16.42251650011167,16.42251650011167,16.42251650011167,18.406637500040233,18.406637500040233,18.893526900094002,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.47054950008168817,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
74,greater,0,0,0,0,0,2,2,62,18.906407800037414,,,,,,,,,,18.89395090006292,18.906407800037414,18.906407800037414,18.906407800037414,20.90634350012988,20.90634350012988,21.31011680001393,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.3864925999660045,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
45,lower,0,0,0,0,0,3,3,34,21.323009700048715,,,,,,,,,,21.310574700124562,21.323009700048715,21.323009700048715,21.323009700048715,23.323592400178313,23.323592400178313,23.763051300076768,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.43350309995003045,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
83,greater,0,0,0,0,0,4,4,71,23.788351600058377,,,,,,,,,,23.763752800179645,23.788351600058377,23.788351600058377,23.788351600058377,25.773232200182974,25.773232200182974,26.143950800178573,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.3677926000673324,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
41,lower,0,0,0,0,0,5,5,30,26.156455400167033,,,,,,,,,,26.144410600187257,26.156455400167033,26.156455400167033,26.156455400167033,28.156312900129706,28.156312900129706,28.693025100044906,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.5295805998612195,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
60,greater,0,0,0,0,0,6,6,48,28.706132300198078,,,,,,,,,,28.69345420016907,28.706132300198078,28.706132300198078,28.706132300198078,30.706208400195464,30.706208400195464,31.04279109998606,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.33103330014273524,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
15,lower,0,0,0,0,0,7,7,4,31.056270000059158,,,,,,,,,,31.043217400088906,31.056270000059158,31.056270000059158,31.056270000059158,33.056470800191164,33.056470800191164,33.476466700201854,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.4044694001786411,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
23,lower,0,0,0,0,0,8,8,12,33.4892414000351,,,,,,,,,,33.47689300007187,33.4892414000351,33.4892414000351,33.4892414000351,35.48927730019204,35.48927730019204,35.959390100091696,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.4600752000696957,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
62,greater,0,0,0,0,0,9,9,50,35.972837100038305,,,,,,,,,,35.95991770015098,35.972837100038305,35.972837100038305,35.972837100038305,37.97274240013212,37.97274240013212,38.41283380007371,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.43268380011431873,None,,,,,,,,,,,,Relâmpago Marquin,10,2024-11-05_19h38.54.917,two-digit-number-comparison-task,2024.1.5,None,2024-11-05 19h39.09.627264 -0300,
