target_number,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_msg.started,welcome_resp.started,welcome.stopped,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,alternatives.started,left_alt.started,right_alt.started,number.started,key_resp.started,trial.stopped,left_msg,right_msg,button_condition,corr,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,rest.started,rest_prompt.started,rest_clock.started,rest_resp.started,rest.stopped,number.stopped,key_resp.stopped,thanks.started,thanks_prompt.started,thanks_spacebar.started,thanks_resp.started,thanks.stopped,session_duration,Nome Completo,total_blocks,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.019451600033789873,0.06567119993269444,0.06567119993269444,12.113053499953821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
33,lower,0,0,0,0,0,0,0,2,15.531998199876398,,,,,,12.115436299936846,12.19970569992438,12.19970569992438,15.43621820001863,15.450380200054497,15.531998199876398,15.531998199876398,15.531998199876398,17.44951370009221,17.44951370009221,18.003906399942935,Menor que 55,Maior que 55,left-lower/right-greater,left,right,0,0.543070400133729,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
22,lower,0,0,0,0,0,1,1,1,18.033377399900928,,,,,,,,,,18.00587569992058,18.033377399900928,18.033377399900928,18.033377399900928,20.016049399971962,20.016049399971962,20.302627000026405,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.28147670021280646,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
99,greater,0,0,0,0,0,2,2,7,20.332132699899375,,,,,,,,,,20.303044399945065,20.332132699899375,20.332132699899375,20.332132699899375,22.316037900047377,22.316037900047377,22.953142300015315,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.636067199986428,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
44,lower,0,0,0,0,0,3,3,3,22.981617599958554,,,,,,,,,,22.9535831999965,22.981617599958554,22.981617599958554,22.981617599958554,24.965937400003895,24.965937400003895,25.802567800041288,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.8345439999829978,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
77,greater,0,0,0,0,0,4,4,5,25.831716899992898,,,,,,,,,,25.803031099960208,25.831716899992898,25.831716899992898,25.831716899992898,27.815685299923643,27.815685299923643,28.338574500055984,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.521303900051862,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
11,lower,0,0,0,0,0,5,5,0,28.365164800081402,,,,,,,,,,28.339047099929303,28.365164800081402,28.365164800081402,28.365164800081402,30.348577700089663,30.348577700089663,30.901966700097546,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.5396434001158923,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
88,greater,0,0,0,0,0,6,6,6,30.931204400025308,,,,,,,,,,30.902391199953854,30.931204400025308,30.931204400025308,30.931204400025308,32.915556099964306,32.915556099964306,33.552777000004426,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.6289784000255167,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
66,greater,0,0,0,0,0,7,7,4,33.58128560008481,,,,,,,,,,33.55322110000998,33.58128560008481,33.58128560008481,33.58128560008481,35.56544560007751,35.56544560007751,36.06846409989521,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4915599999949336,None,,,,,,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.06882159993984,36.13108869991265,36.13108869991265,36.13108869991265,96.09378129988909,,,,,,,,,Relâmpago Marquin,4,2024-11-07_12h42.04.418,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h43.14.200746 -0300,
